rank,title,artist,album
1,Love Lee,AKMU (악뮤),Love Lee
2,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
3,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,스트릿 우먼 파이터2(SWF2) 계급미션
4,후라이의 꿈,AKMU (악뮤),Love Lee
5,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
6,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
7,Fast Forward,전소미,GAME PLAN
8,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
9,헤어지자 말해요,박재정,1집 Alone
10,I AM,IVE (아이브),I've IVE
11,Bubble,STAYC(스테이씨),TEENFRESH
12,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
13,모래 알갱이,임영웅,모래 알갱이
14,I Love My Body,화사 (HWASA),I Love My Body
15,퀸카 (Queencard),(여자)아이들,I feel
16,우리들의 블루스,임영웅,IM HERO
17,다시 만날 수 있을까,임영웅,IM HERO
18,Still With You,정국,Still With You
19,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”)
20,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
21,무지개,임영웅,IM HERO
22,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
23,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
24,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
25,Love Me Again,V,Layover
26,Spicy,aespa,MY WORLD - The 3rd Mini Album
27,아버지,임영웅,IM HERO
28,London Boy,임영웅,Polaroid
29,Polaroid,임영웅,Polaroid
30,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
31,인생찬가,임영웅,IM HERO
32,A bientot,임영웅,IM HERO
33,손이 참 곱던 그대,임영웅,IM HERO
34,CAKE,ITZY (있지),KILL MY DOUBT
35,사랑해 진짜,임영웅,IM HERO
36,Kitsch,IVE (아이브),I've IVE
37,연애편지,임영웅,IM HERO
38,Ditto,NewJeans,NewJeans 'OMG'
39,Summer (Feat. BE’O (비오)),Paul Blanco,Summer
40,나에게 그대만이,탑현,나에게 그대만이
41,보금자리,임영웅,IM HERO
42,Dynamite,방탄소년단,Dynamite (DayTime Version)
43,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
44,Slow Dancing,V,Layover
45,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
46,OMG,NewJeans,NewJeans 'OMG'
47,After LIKE,IVE (아이브),After LIKE
48,Rainy Days,V,Layover
49,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
50,Take Two,방탄소년단,Take Two
51,LOVE DIVE,IVE (아이브),LOVE DIVE
52,심(心),DK(디셈버),심(心)
53,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush,스트릿 우먼 파이터2(SWF2) 계급미션
54,I Don't Think That I Like Her,Charlie Puth,CHARLIE
55,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
56,Butter,방탄소년단,Butter
57,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
58,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
59,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up'
60,봄날,방탄소년단,YOU NEVER WALK ALONE
61,KIDDING,이세계아이돌,KIDDING
62,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
63,Baggy Jeans,NCT U,Golden Age - The 4th Album
64,Like Crazy,지민,FACE
65,I WANT,IVE (아이브),I WANT
66,꽃,지수 (JISOO),ME
67,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
68,사랑의 바보,제이세라,사랑의 바보
69,Teddy Bear,STAYC(스테이씨),Teddy Bear
70,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
71,사실말야내가말야그게그러니까말이야,케이시 (Kassy),사실말야내가말야그게그러니까말이야
72,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
73,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
74,미친 사랑의 노래,김연지,미친 사랑의 노래
75,Get A Guitar,RIIZE,Get A Guitar
76,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
77,물론,허각,물론
78,취중고백,김민석 (멜로망스),취중고백
79,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
80,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
81,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
82,STAY,The Kid LAROI,Stay
83,잠깐 시간 될까,이무진,잠깐 시간 될까
84,Candy,NCT DREAM,Candy - Winter Special Mini Album
85,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
86,ISTJ,NCT DREAM,ISTJ - The 3rd Album
87,민들레 (single ver.),우효,민들레
88,해요 (2022),#안녕,해요 (2022)
89,on the street (with J. Cole),j-hope,on the street (with J. Cole)
90,Cupid,FIFTY FIFTY,The Beginning: Cupid
91,ASAP,NewJeans,NewJeans 2nd EP 'Get Up'
92,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),Golden Hourglass
93,첫 키스에 내 심장은 120BPM,경서,ONGOING
94,사랑..그게 뭔데,지아,사랑..그게 뭔데
95,Better Things,aespa,Better Things
96,Yogurt Shake,NCT DREAM,ISTJ - The 3rd Album
97,That's Hilarious,Charlie Puth,CHARLIE
98,In Bloom,ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
99,주저하는 연인들을 위해,잔나비,전설
100,TOMBOY,(여자)아이들,I NEVER DIE
