rank,title,artist,album
1,Love Lee,AKMU (악뮤),Love Lee
2,Smoke (Prod. by Dynamicduo & Padi),다이나믹 듀오 & 이영지,스트릿 우먼 파이터2 (SWF2) 계급미션
3,후라이의 꿈,AKMU (악뮤),Love Lee
4,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
5,Seven (Feat. Latto) (Clean Ver.),정국,Seven (Clean Ver.)
6,헤어지자 말해요,박재정,1집 Alone
7,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
8,Fast Forward,전소미,GAME PLAN
9,I Love My Body,화사 (HWASA),I Love My Body
10,I AM,IVE (아이브),I've IVE
11,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
12,퀸카 (Queencard),(여자)아이들,I feel
13,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
14,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
15,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
16,우리들의 블루스,임영웅,IM HERO
17,모래 알갱이,임영웅,모래 알갱이
18,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
19,다시 만날 수 있을까,임영웅,IM HERO
20,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
21,Kitsch,IVE (아이브),I've IVE
22,무지개,임영웅,IM HERO
23,Summer (Feat. BE'O (비오)),Paul Blanco,Summer
24,Spicy,aespa,MY WORLD - The 3rd Mini Album
25,London Boy,임영웅,Polaroid
26,Polaroid,임영웅,Polaroid
27,아버지,임영웅,IM HERO
28,심 (心),DK (디셈버),심 (心)
29,Bubble,STAYC (스테이씨),TEENFRESH
30,A bientot,임영웅,IM HERO
31,Ditto,NewJeans,NewJeans 'OMG'
32,손이 참 곱던 그대,임영웅,IM HERO
33,사랑해 진짜,임영웅,IM HERO
34,보금자리,임영웅,IM HERO
35,연애편지,임영웅,IM HERO
36,인생찬가,임영웅,IM HERO
37,I Don't Think That I Like Her,Charlie Puth,CHARLIE
38,After LIKE,IVE (아이브),After LIKE
39,Steal The Show,Lauv,엘리멘탈 (Original Motion Picture Soundtrack)
40,Somebody,디오 (D.O.),기대 - The 2nd Mini Album
41,UNFORGIVEN (Feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
42,Underwater,권은비,Lethality
43,건물 사이에 피어난 장미,H1-KEY (하이키),H1-KEY 1st Mini Album (Rose Blossom)
44,LOVE DIVE,IVE (아이브),LOVE DIVE
45,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
46,취중고백,김민석 (멜로망스),취중고백
47,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
48,Click Like (Prod. by Crush) (Feat. Paul Blanco),Crush,스트릿 우먼 파이터2 (SWF2) 계급미션
49,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면
50,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
51,CAKE,ITZY (있지),KILL MY DOUBT
52,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
53,OMG,NewJeans,NewJeans 'OMG'
54,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
55,꽃,지수 (JISOO),ME
56,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
57,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
58,Teddy Bear,STAYC (스테이씨),Teddy Bear
59,주저하는 연인들을 위해,잔나비,전설
60,사랑의 바보,제이세라 (J-Cera),사랑의 바보
61,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
62,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
63,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
64,That's Hilarious,Charlie Puth,CHARLIE
65,예뻤어,DAY6 (데이식스),Every DAY6 February
66,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
67,When I Get Old,Christopher & 청하,When I Get Old
68,Stay,The Kid LAROI & Justin Bieber,Stay
69,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
70,트월ㅋ (Prod. by Czaer),미연 ((여자)아이들) & 우기 ((여자)아이들),스트릿 우먼 파이터2 (SWF2) 계급미션
71,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
72,그라데이션,10CM,5.3
73,잠깐 시간 될까,이무진,잠깐 시간 될까
74,TOMBOY,(여자)아이들,I NEVER DIE
75,The Drum,Alan Walker,"Walkerverse, Pt. I"
76,나에게 그대만이,탑현,나에게 그대만이
77,미친 사랑의 노래,김연지 & DK (디셈버),미친 사랑의 노래
78,Shut Down,BLACKPINK,BORN PINK
79,2002,Anne-Marie,Speak Your Mind (Deluxe)
80,해요 (2022),#안녕,해요 (2022)
81,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack)
82,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
83,Never Ending Story,김민석 (멜로망스),너의 시간 속으로 OST
84,Off My Face,Justin Bieber,Justice
85,가까이 하고 싶은 그대,SOLE (쏠),A Love Supreme
86,Monologue,테이 (Tei),Monologue
87,새삥 (Prod. by ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
