구별,2014년 이전,CCTV댓수,최근증가율,인구수,내국인,외국인,고령자,외국인 비율,고령자 비율
종로구,553,1835,40.6,152212,141060,11152,28265,7.33,18.57
중구,217,2584,55.8,131390,120963,10427,25353,7.94,19.3
용산구,87,2970,65.52,232482,217756,14726,39478,6.33,16.98
성동구,157,4040,54.06,287240,280240,7000,48238,2.44,16.79
광진구,130,3480,68.19,350925,336801,14124,54854,4.02,15.63
동대문구,3,2750,43.42,354884,337574,17310,65154,4.88,18.36
중랑구,555,4193,73.12,389928,385003,4925,76116,1.26,19.52
성북구,318,4853,53.14,441855,430100,11755,78427,2.66,17.75
강북구,21,3321,90.39,296934,292762,4172,67056,1.41,22.58
도봉구,98,2126,81.84,312858,310509,2349,68114,0.75,21.77
노원구,238,2608,49.31,506989,502515,4474,93279,0.88,18.4
은평구,61,4653,63.89,468766,464871,3895,90556,0.83,19.32
서대문구,1012,3445,44.03,321966,308437,13529,56785,4.2,17.64
마포구,61,2628,55.33,376542,365570,10972,56582,2.91,15.03
양천구,369,3890,55.58,442345,439219,3126,73522,0.71,16.62
강서구,132,3312,63.83,573711,568287,5424,98659,0.95,17.2
구로구,307,4653,64.75,417983,395183,22800,77259,5.45,18.48
금천구,0,2650,72.79,242467,229307,13160,43772,5.43,18.05
영등포구,190,4644,66.58,398999,376614,22385,66014,5.61,16.54
동작구,88,2664,54.28,390377,380201,10176,68766,2.61,17.62
관악구,592,5239,50.39,502628,487815,14813,83420,2.95,16.6
서초구,160,4995,52.73,408979,404831,4148,63328,1.01,15.48
강남구,121,7243,47.48,537817,532798,5019,83097,0.93,15.45
송파구,149,3154,75.94,663704,658006,5698,105161,0.86,15.84
강동구,277,3190,66.02,464027,459982,4045,79706,0.87,17.18
